row.names;Coeligena lutetiae;Colibri coruscans;Diglossopis cyanea;Diglossa lafresnayii;Ensifera ensifera;Eriocnemis luciani;Eriocnemis mosquera;Lafresnaya lafresnayi;Lesbia victoriae;Metallura tyrianthina
Barnadesia spinosa;0;7;0;0;0;0;0;1;0;0
Berberis pichinchensis;0;0;0;0;0;0;0;0;0;11
Bomarea lutea;4;0;0;0;0;1;0;3;0;0
Brachyoutum ledifolium;0;0;0;0;0;0;0;0;0;4
Bromeliad3PF;0;0;0;0;0;0;0;0;0;3
Centropogon pichinchensis;1;0;0;0;0;0;0;4;0;0
Disterigma alalternoides;0;0;0;0;0;0;0;0;0;8
Fucsia sp;0;0;0;0;0;0;0;0;0;1
Gentianella jamesonii;0;0;0;0;0;0;0;1;0;11
Loasa_sp;3;0;0;0;0;0;0;34;0;0
Macleania rupestris;8;0;0;3;0;13;0;0;0;24
Palicourea amethystina;0;0;0;0;0;0;0;0;0;38
Palicourea fuchsioides;0;0;1;3;3;23;1;0;0;13
Passiflora cumbalensis;0;0;0;0;3;0;0;0;0;3
Salvia sp;8;0;0;0;0;2;0;8;0;6
Tristerix sp;0;0;0;0;0;5;2;0;3;0
